uri,artist_id,image,release_date,duration,sound,genre,acoustic,dance,energy,instrumental,key,live,loud,speech,tempo,time_signature,valence
4zfih9sHVVJMb0f7LRoAz8,3IW7ScrzXmPvZhB27hmfgy,ab67616d00001e02e8bfa118111223daf1b7341b,2020-06-19,237586.0,ffad6caf76da81773a04d5d20cd35c36e53a7618?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.48,0.863,0.868,0.0,6,0.125,-5.257,0.0524,124.978,4,0.677
4ZhuivUPhDFWj9rjImvyYM,26zgIfFyTCImkHAp5gwKW8,ab67616d00001e02759b4a1aa5cfb8c473ea36f4,2023-06-23,176453.0,7f3a414f2e8efd9ca8867ea06627a274d2708180?cid=8e0ce36364d143bab6ff99cbe736c94c,r&b,0.343,0.823,0.624,2.54e-05,1,0.169,-5.922,0.229,174.056,4,0.694
4zI04ezdmrN0lT2pHykYrd,15UsOTVnJzReFVN1VCnxy4,ab67616d00001e02806c160566580d6335d1f16c,2018-03-16,101516.0,,rap,0.536,0.671,0.628,0.151,4,0.12,-5.117,0.0273,135.005,4,0.595
4zIO3ilp5HvTeK3HJHxhMP,53XhwfbYqKCa1cC15pYq2q,ab67616d00001e02786131a75c1f97fa83b6605c,2018-07-17,189466.0,,rock,0.216,0.448,0.612,0.0,2,0.08,-6.106,0.0708,97.773,4,0.213
4zj8DE8qnT2uBpnFABjwkk,0LnhY2fzptb0QEs5Q5gM7S,ab67616d00001e029bbbf5ca66b29b25236379cb,2021-07-16,53453.0,02cf5c4c045eb492cd1f42fef44801ebb6eb0849?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.283,0.515,0.53,0.0,1,0.529,-19.069,0.893,67.431,3,0.27
4ZJURpomulGIURxYSvO1Xd,4sbXXFzEWJY2zsZjelerjX,ab67616d00001e027cde60dc361f33de539a091e,2019-12-19,221680.0,,r&b,0.1,0.814,0.624,0.0,2,0.329,-5.55,0.095,97.984,4,0.508
4ZKEPjdQaCe0JZFnQQXrRB,5U05AU34EcZ8pfohg2dicI,ab67616d00001e02680a2136cc43743a90585c23,2021-02-18,221960.0,,rap,0.337,0.728,0.609,0.0,3,0.141,-6.268,0.456,138.909,4,0.454
4zKqWCgGqwWlfJTNaj2R19,2RJBv9wXbW6m539q9NOfW1,ab67616d00001e0236be51bfc8f192704d364ee8,2019-10-10,233813.0,d30a072694423ee4dda52235edaa89c29c82acb1?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.765,0.695,0.722,0.0,9,0.144,-5.743,0.164,119.84,4,0.407
4zlNiZt4UyHd6KWvGlWQXQ,5olcgTzelGdyP1rHRLyWgs,ab67616d00001e025b5c30a675f20f8f889b02a3,2024-02-02,190813.0,3713173188aacf6a4051c2684e7e6b7cc4d74a78?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.459,0.678,0.494,0.0,4,0.176,-7.827,0.15,123.944,4,0.198
4ZmXwpAnxsp4zk8wGNj91y,19u3RGWKsjmbg9eI6zAiNp,ab67616d00001e026a3b5cd47c9a6932adaa5ef7,2020-10-09,273200.0,8cf5a67762a78c51fb483fb0007741a3b6224401?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.152,0.86,0.858,0.0,2,0.119,-5.031,0.266,128.952,4,0.816
4zN21mbAuaD0WqtmaTZZeP,43BxCL6t4c73BQnIJtry5v,ab67616d00001e026cc861b5c9c7cdef61b010b4,2022-04-01,186661.0,,electro,0.0127,0.847,0.69,6e-05,1,0.0526,-7.877,0.0493,125.004,4,0.692
4zNegI08Ey41oFdfaiZinq,4FpJcNgOvIpSBeJgRg3OfN,ab67616d00001e0258ba1ea637001f9a15e55a92,2021-11-19,188968.0,dfeb42b19697a86fce489fb050ba670b21d5dee1?cid=8e0ce36364d143bab6ff99cbe736c94c,rap,0.481,0.811,0.768,0.0,1,0.0867,-4.896,0.301,99.956,4,0.875
